model	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	distance	diff_param	diff_hybrid	time
1D_2_4b	4	1.7681538	-0.70898297	1.56	1	0.65782938	0.63159578	0.10602387	0.10170595	3.894456	1.001919	-0.67331497	-0.85819961	-0.87016021	0.042424301	0.09644697	0.099687252	0.039723046	0.41503181	1.7721839	1.7524167	-7.319836	R0:N6:S0:1	e569cda	 2.33e-03	 9.78e-06	 5.23e-06	2022-03-21@18:29
1D_2_4b	4	1.7681442	-0.7089999	1.56	1	0.65783136	0.63159643	0.10602352	0.10170677	3.8944567	1.0019183	-0.67331494	-0.85820292	-0.87015773	0.042424192	0.09644769	0.099686655	0.039723085	0.41503174	1.7721801	1.7524201	-7.3199052	R0:N6:S0:1	e569cda	 2.33e-03	 5.89e-07	 8.33e-07	2022-03-21@18:29
1D_2_4b	4	1.7806118	-0.67364038	1.54	1	0.65630505	0.62793141	0.10602162	0.10191833	3.8942334	1.0019242	-0.67324991	-0.85878955	-0.87054026	0.042422981	0.096647293	0.099885022	0.03973127	0.41499023	1.7723439	1.752393	-7.1363566	R0:N6:S0:1	e569cda	 2.75e-03	 1.83e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7802943	-0.67348346	1.54	1	0.65625752	0.62785541	0.10601751	0.10192556	3.8942387	1.0019179	-0.67324979	-0.85881111	-0.87051133	0.042421653	0.096653809	0.099880439	0.03973033	0.4149917	1.7723228	1.7524302	-7.1356709	R0:N6:S0:1	e569cda	 2.75e-03	 1.18e-05	 7.79e-06	2022-03-21@18:29
1D_2_4b	4	1.7802913	-0.67350668	1.54	1	0.65626039	0.62785499	0.10601692	0.10192585	3.8942403	1.0019169	-0.67325001	-0.85881256	-0.87050544	0.042421465	0.09665405	0.099879019	0.039730178	0.41499204	1.7723191	1.7524354	-7.1357638	R0:N6:S0:1	e569cda	 2.75e-03	 7.86e-06	 1.33e-06	2022-03-21@18:29
1D_2_4b	4	1.7802891	-0.67352208	1.54	1	0.65626116	0.62785714	0.10601676	0.101926	3.8942408	1.0019166	-0.67325006	-0.85881322	-0.87050396	0.042421415	0.096654164	0.09987861	0.039730162	0.41499209	1.7723176	1.7524369	-7.1358265	R0:N6:S0:1	e569cda	 2.75e-03	 3.82e-06	 6.22e-07	2022-03-21@18:29
1D_2_4b	4	1.7802875	-0.67352935	1.54	1	0.65626234	0.62785844	0.10601672	0.10192636	3.8942408	1.0019164	-0.67325	-0.85881471	-0.87050396	0.042421401	0.096654482	0.099878582	0.039730227	0.41499197	1.7723163	1.7524375	-7.1358571	R0:N6:S0:1	e569cda	 2.75e-03	 2.80e-07	 2.95e-07	2022-03-21@18:29
1D_2_4b	4	1.7909576	-0.6369641	1.52	1	0.65445995	0.6236912	0.1059926	0.10218442	3.8940373	1.0018892	-0.67318207	-0.85953551	-0.87074073	0.042412989	0.096896512	0.10006009	0.03973331	0.41495766	1.7723803	1.7526095	-6.9471252	R0:N6:S0:1	e569cda	 3.30e-03	 1.64e-04	 1.00e+06	2022-03-21@18:29
1D_2_4b	4	1.7906939	-0.63679611	1.52	1	0.65442693	0.62359762	0.10598717	0.1021903	3.8940469	1.0018814	-0.6731829	-0.85955338	-0.87069438	0.042411228	0.096901834	0.10005166	0.039731585	0.41496081	1.7723575	1.7526572	-6.9463881	R0:N6:S0:1	e569cda	 3.30e-03	 2.53e-05	 9.92e-06	2022-03-21@18:29
1D_2_4b	4	1.7906827	-0.63684529	1.52	1	0.65443015	0.62360065	0.10598629	0.10219086	3.8940493	1.0018799	-0.67318321	-0.85955596	-0.87068581	0.042410946	0.096902294	0.10004951	0.039731395	0.41496126	1.7723512	1.7526653	-6.9465862	R0:N6:S0:1	e569cda	 3.30e-03	 1.23e-05	 2.53e-06	2022-03-21@18:29
